# Forces        
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
11.75           	((6.95204730e+05 4.86445133e+05 -4.00734529e+05) (-3.45860206e+01 -2.79273902e+01 -2.59844148e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.38959285e+05 -1.62466627e+05 1.94129510e+05) (4.51658098e-01 -6.50737777e-01 9.57369106e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
12              	((-1.09302952e+06 -5.76953525e+05 5.89336044e+05) (-4.19774841e+01 -3.11028702e+01 1.01776711e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.54601860e+05 2.48912814e+05 -3.21090859e+05) (3.64436794e-01 -6.30318512e-01 6.24797636e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
12.25           	((1.01538364e+06 6.07970590e+05 -1.26355609e+06) (-4.31357871e+01 -3.08926123e+01 -5.75185570e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.85157167e+05 -5.14085534e+05 3.07684660e+05) (6.17839300e-01 -9.27676659e-01 8.10141983e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
12.5            	((-1.47988444e+06 -6.94066183e+05 1.47880286e+06) (-5.09869036e+01 -3.38394670e+01 -4.35730939e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.72055834e+05 6.15669189e+05 -4.25749735e+05) (4.17341392e-01 -7.86456551e-01 7.16023653e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
12.75           	((1.48826614e+06 8.83393194e+05 -2.03821164e+06) (-5.09374435e+01 -3.15616187e+01 -7.12967739e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.61595354e+05 -8.32750935e+05 4.34636312e+05) (6.27204315e-01 -1.11320415e+00 1.09050487e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
13              	((-2.05298257e+06 -1.02674346e+06 2.25365382e+06) (-5.99549677e+01 -3.52960749e+01 -5.77166315e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.74096000e+05 9.35573741e+05 -5.50886028e+05) (4.69600625e-01 -9.23767696e-01 8.95094728e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
13.25           	((2.50592040e+06 1.51983003e+06 -2.79501225e+06) (-5.47073644e+01 -2.90247621e+01 -8.39741615e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.02428265e+06 -1.15343446e+06 7.01089576e+05) (6.40303644e-01 -1.23606653e+00 2.36524170e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
13.5            	((-2.72871516e+06 -1.42698427e+06 3.26205128e+06) (-5.93564148e+01 -2.94132643e+01 1.21895219e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.58941504e+05 1.34181366e+06 -6.50717151e+05) (4.41168863e-01 -8.44398395e-01 3.91616570e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
13.75           	((2.56284789e+06 1.40191197e+06 -4.27698359e+06) (-6.08388614e+01 -2.99230878e+01 -1.35766433e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.32513851e+06 -1.75482356e+06 6.73176001e+05) (9.37786044e-01 -1.56487062e+00 5.28277074e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
14              	((-3.40546995e+06 -1.47373346e+06 4.66079813e+06) (-7.44489312e+01 -3.24198466e+01 1.33612312e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.41666784e+06 1.93644440e+06 -7.78568481e+05) (3.04601400e-01 -1.04470111e+00 4.20270198e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
