# Forces        
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
22              	((5.44780988e+01 -3.63694514e+01 -3.11388847e+02) (1.16814403e+00 -3.92878126e-02 1.97865292e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.29867373e+01 -1.40559699e+02 3.75593981e+00) (-6.78041145e-04 2.47588875e-02 4.30217260e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
24              	((3.25011377e+02 1.39440358e+01 1.49469397e+02) (1.28241635e+00 -4.33056564e-02 2.60066798e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.43862288e+00 3.88811870e+01 -4.82169093e+00) (-6.32888809e-04 2.94718261e-02 4.27325135e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
26              	((1.67142220e+02 1.68488029e+01 -2.36079778e+02) (1.42072267e+00 -2.74084361e-02 3.24853793e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.26680660e+00 -1.12571925e+02 3.80764329e+01) (-8.80960442e-04 3.43033576e-02 6.11486228e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
28              	((3.00845057e+02 1.31862594e+02 1.68470958e+02) (1.55353637e+00 4.15288610e-02 3.99095271e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.39203867e+00 4.79988984e+01 -3.29142747e+00) (-1.00835834e-03 3.96783025e-02 6.91776354e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
30              	((9.43617569e+00 -1.82958947e+02 -2.07473587e+02) (1.61236608e+00 2.19428016e-03 4.72930926e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.50867020e+01 -9.67357184e+01 6.15844834e+01) (-2.47791031e-04 4.39192419e-02 9.30402807e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
32              	((1.30150127e+02 1.06281139e+02 1.99874978e+02) (1.63230857e+00 -1.91166085e-02 5.86907688e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.38520298e+00 6.61746867e+01 -3.88669208e+01) (-3.77862130e-04 4.92853032e-02 9.87316123e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
34              	((3.43844277e+01 -1.82242512e+02 -1.08264081e+02) (1.65783331e+00 -7.50473385e-02 6.96166788e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.72266064e+00 -5.54706571e+01 6.37749954e+01) (-4.44812914e-04 5.43153148e-02 1.15736441e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
36              	((1.91236904e+02 1.48394722e+02 2.65938046e+02) (1.73031564e+00 -7.38641849e-02 8.05933216e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.92125176e+01 9.37685407e+01 -4.20451806e+01) (-1.43867681e-03 6.01783221e-02 1.20304238e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
38              	((-9.46454512e+01 -1.18681792e+02 -1.68594396e+02) (1.72019046e+00 -6.79813112e-02 9.34334845e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.93939091e+01 -7.49911002e+01 -3.82669116e+01) (-3.84125956e-03 6.54391429e-02 7.83478613e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
40              	((2.66846032e+02 7.32786129e+01 3.51455768e+02) (1.82263546e+00 -7.94243333e-02 1.01717176e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.84844516e+01 1.27150018e+02 3.70492961e+01) (-4.20271822e-03 7.06258573e-02 9.68255365e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
42              	((-5.33155882e+02 -2.02474873e+02 -3.21315542e+02) (1.62352468e+00 -1.55199065e-01 1.21281538e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.33626005e+02 -1.23405917e+02 -1.94080397e+02) (-9.43023046e-03 7.59738407e-02 -8.65885953e-04) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
44              	((5.12858747e+02 1.97519478e+02 4.57860827e+02) (1.69118351e+00 -1.34987239e-01 1.30599608e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.16800530e+01 1.64717919e+02 7.04182989e+01) (-1.06446275e-02 8.11353433e-02 -3.68301387e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
46              	((-8.29927776e+02 -8.12484273e+02 -2.79184726e+02) (1.50489808e+00 -4.85617495e-01 1.48763501e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.23442538e+01 -9.67105994e+01 8.34522034e+01) (-9.69966179e-03 8.60242535e-02 7.51108511e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
48              	((7.85331297e+02 1.00376266e+03 2.70834697e+02) (1.57585376e+00 -3.81420669e-01 1.52938378e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.16954534e+02 8.59230349e+01 -3.40464167e+02) (-8.12699316e-03 8.96021306e-02 -1.86638682e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
50              	((-1.68281046e+03 -1.94917037e+03 -1.41743699e+02) (1.27557403e+00 -7.90357668e-01 1.65713908e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.24170423e+02 -2.53984009e+01 3.67879684e+02) (-6.81766983e-03 9.11375586e-02 5.39426356e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
52              	((1.94018923e+03 2.29750242e+03 -1.37012850e+02) (1.43715485e+00 -6.33141204e-01 1.66818004e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.22791547e+02 -9.01580026e+01 -3.88744964e+02) (-8.02437575e-03 9.51308648e-02 1.92685379e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
54              	((-6.93374127e+03 -6.12032307e+03 4.08656322e+02) (4.05879186e-02 -1.87257733e+00 1.84260187e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.14429742e+03 2.64463649e+02 -9.72669250e+01) (5.00846281e-03 8.41973503e-02 -5.10017580e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
56              	((6.42260514e+03 1.48630973e+03 -3.87922221e+03) (1.07128714e-01 -2.67772543e+00 1.75372652e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.67515451e+03 -1.61069779e+03 2.27303576e+03) (1.95838775e-02 8.29858559e-02 4.17332625e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
58              	((-3.03295193e+04 -2.14216251e+04 1.32432522e+04) (-3.31028696e+00 -5.76369272e+00 2.13479169e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.02304528e+04 5.69771478e+03 -6.84996011e+03) (3.20075623e-02 5.05130973e-02 2.00246251e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
60              	((3.52654861e+04 1.62339009e+04 -1.40840676e+04) (-2.78387466e+00 -6.11715931e+00 2.16407623e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.31201713e+03 -5.92454468e+03 1.08737879e+04) (4.16738990e-02 6.04042284e-02 4.11582908e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
62              	((-6.48054106e+04 -4.03124954e+04 8.31657081e+03) (-5.14235900e+00 -8.24758612e+00 1.52308837e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.80441916e+03 4.03077861e+03 -1.73013387e+04) (9.57934842e-02 -5.20310849e-03 5.48310000e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
64              	((5.92045451e+04 2.97421930e+04 -3.44527741e+04) (-5.21059306e+00 -8.84040137e+00 9.95024153e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.10798592e+04 -1.41427479e+04 1.68661411e+04) (1.41353152e-01 -2.92312907e-02 5.99178667e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
66              	((-8.60997852e+04 -4.18660708e+04 5.66853159e+04) (-6.85891732e+00 -9.93981846e+00 1.30837556e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.83438405e+04 2.38518886e+04 -2.73457967e+04) (1.19155567e-01 -4.11972832e-02 5.59809699e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
68              	((5.21869424e+04 9.96383920e+03 -7.12816559e+04) (-8.20601867e+00 -1.16300604e+01 5.77236877e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.98812029e+04 -2.87044940e+04 1.97321886e+04) (1.79582810e-01 -9.42298511e-02 7.34913836e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
70              	((-5.00510320e+04 3.31030282e+03 7.60646697e+04) (-8.18144562e+00 -1.13613142e+01 1.04264873e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.38942666e+04 3.12048128e+04 -2.57836059e+04) (1.55320911e-01 -7.47447622e-02 5.17965901e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
72              	((1.06618061e+04 -3.29832277e+04 -5.90248794e+04) (-9.64274055e+00 -1.29249295e+01 8.33347276e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.36275487e+04 -2.31272683e+04 1.41071676e+04) (1.79844906e-01 -1.07163935e-01 6.52287103e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
74              	((-1.22265890e+04 5.52163861e+04 -1.81374991e+03) (-9.68257304e+00 -1.24517030e+01 3.91586950e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.06173445e+04 -9.95328286e+02 -2.52744585e+04) (2.26372860e-01 -1.29715843e-01 3.18516731e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
76              	((-4.90565332e+04 -9.75948242e+04 3.98445982e+03) (-1.19626962e+01 -1.47666049e+01 3.37628219e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.71836970e+04 3.62010013e+03 7.31360779e+03) (2.42587618e-01 -1.66341659e-01 6.31215403e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
78              	((2.89804550e+04 1.11892763e+05 -1.18753379e+05) (-1.25268840e+01 -1.46266783e+01 -8.46590219e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.04061649e+05 -4.88543588e+04 -2.36334059e+04) (3.35633336e-01 -2.31263218e-01 3.43836771e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
80              	((-1.39029956e+05 -1.73937215e+05 1.12040884e+05) (-1.61683676e+01 -1.75835941e+01 -5.57768581e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.98699288e+04 4.92715451e+04 -1.26153197e+04) (3.26482245e-01 -2.69912130e-01 5.75725109e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
82              	((1.65884839e+05 2.40145812e+05 -1.95329013e+05) (-1.53050492e+01 -1.59452292e+01 -1.42335955e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.46085251e+05 -8.14369281e+04 3.17331174e+03) (3.87872891e-01 -3.02697429e-01 7.41821855e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
84              	((-3.05558259e+05 -3.01029349e+05 2.20907203e+05) (-1.97082100e+01 -1.90333477e+01 -5.42578666e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.56180796e+05 9.51578524e+04 -5.27902092e+04) (3.49472571e-01 -3.22309924e-01 2.00001646e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
86              	((2.34363934e+05 3.01616151e+05 -1.05003993e+05) (-2.12569177e+01 -1.94089428e+01 -9.66572282e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.60914615e+04 -4.30476413e+04 1.87301573e+04) (3.44366106e-01 -3.69815250e-01 4.96547748e-03) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
88              	((-4.53504035e+05 -3.92830878e+05 8.78019426e+04) (-2.69197938e+01 -2.30815551e+01 -9.44243989e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.46576971e+04 4.10314010e+04 -8.64469847e+04) (3.78247545e-01 -4.50477423e-01 2.08117291e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
90              	((4.12299799e+05 3.70628267e+05 -2.03518337e+05) (-2.77483342e+01 -2.37482686e+01 -2.59147616e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.68642724e+04 -8.21468068e+04 9.09980290e+04) (4.52547232e-01 -5.44374086e-01 6.39292557e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
92              	((-7.19983723e+05 -4.97136784e+05 3.47376051e+05) (-3.42548203e+01 -2.76772180e+01 -5.38106811e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.66108594e+05 1.48466210e+05 -1.84052142e+05) (3.77403745e-01 -5.42279440e-01 5.54969636e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
94              	((6.95204730e+05 4.86445133e+05 -4.00734529e+05) (-3.45860206e+01 -2.79273902e+01 -2.59844148e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.38959285e+05 -1.62466627e+05 1.94129510e+05) (4.51658098e-01 -6.50737777e-01 9.57369106e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
96              	((-1.09302952e+06 -5.76953525e+05 5.89336044e+05) (-4.19774841e+01 -3.11028702e+01 1.01776711e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.54601860e+05 2.48912814e+05 -3.21090859e+05) (3.64436794e-01 -6.30318512e-01 6.24797636e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
98              	((1.01538364e+06 6.07970590e+05 -1.26355609e+06) (-4.31357871e+01 -3.08926123e+01 -5.75185570e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.85157167e+05 -5.14085534e+05 3.07684660e+05) (6.17839300e-01 -9.27676659e-01 8.10141983e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
100             	((-1.47988444e+06 -6.94066183e+05 1.47880286e+06) (-5.09869036e+01 -3.38394670e+01 -4.35730939e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.72055834e+05 6.15669189e+05 -4.25749735e+05) (4.17341392e-01 -7.86456551e-01 7.16023653e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
102             	((1.48826614e+06 8.83393194e+05 -2.03821164e+06) (-5.09374435e+01 -3.15616187e+01 -7.12967739e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.61595354e+05 -8.32750935e+05 4.34636312e+05) (6.27204315e-01 -1.11320415e+00 1.09050487e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
104             	((-2.05298257e+06 -1.02674346e+06 2.25365382e+06) (-5.99549677e+01 -3.52960749e+01 -5.77166315e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.74096000e+05 9.35573741e+05 -5.50886028e+05) (4.69600625e-01 -9.23767696e-01 8.95094728e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
106             	((2.50592040e+06 1.51983003e+06 -2.79501225e+06) (-5.47073644e+01 -2.90247621e+01 -8.39741615e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.02428265e+06 -1.15343446e+06 7.01089576e+05) (6.40303644e-01 -1.23606653e+00 2.36524170e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
108             	((-2.72871516e+06 -1.42698427e+06 3.26205128e+06) (-5.93564148e+01 -2.94132643e+01 1.21895219e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.58941504e+05 1.34181366e+06 -6.50717151e+05) (4.41168863e-01 -8.44398395e-01 3.91616570e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
110             	((2.56284789e+06 1.40191197e+06 -4.27698359e+06) (-6.08388614e+01 -2.99230878e+01 -1.35766433e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.32513851e+06 -1.75482356e+06 6.73176001e+05) (9.37786044e-01 -1.56487062e+00 5.28277074e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
112             	((-3.40546995e+06 -1.47373346e+06 4.66079813e+06) (-7.44489312e+01 -3.24198466e+01 1.33612312e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.41666784e+06 1.93644440e+06 -7.78568481e+05) (3.04601400e-01 -1.04470111e+00 4.20270198e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
114             	((2.64586065e+06 1.25685274e+06 -3.82351926e+06) (-8.22830470e+01 -3.55006925e+01 -9.72263870e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.48787650e+05 -1.56710226e+06 7.03740323e+05) (4.94626803e-01 -1.68081147e+00 5.34096731e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
116             	((-3.63119354e+06 -1.52528682e+06 2.92070030e+06) (-9.43123264e+01 -3.99729615e+01 -5.31949372e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.77624976e+05 1.22839719e+06 -7.22390000e+05) (5.35326323e-01 -1.66927240e+00 6.03820644e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
118             	((4.12160659e+06 1.38937458e+06 -4.83271489e+06) (-8.88310026e+01 -4.09540263e+01 -1.80018057e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.26320602e+06 -1.98043759e+06 8.85709933e+05) (8.89187939e-01 -2.17796780e+00 8.00444061e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
120             	((-5.95745923e+06 -1.52638693e+06 5.69230214e+06) (-1.09581526e+02 -4.43601876e+01 -1.16612771e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.56878307e+06 2.38692585e+06 -8.81200978e+05) (3.22845705e-01 -1.67916001e+00 1.02255654e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
122             	((5.79435598e+06 2.29298704e+06 -7.30046889e+06) (-1.11890963e+02 -3.63518589e+01 -1.88127662e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.89657126e+06 -2.98033218e+06 1.25453679e+06) (3.80689694e-01 -2.53064187e+00 1.52895947e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
124             	((-7.56575493e+06 -2.42315752e+06 8.44124642e+06) (-1.30540466e+02 -3.87634770e+01 1.24280661e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.56256475e+06 3.50921837e+06 -1.20850031e+06) (-3.25073418e-01 -1.86285324e+00 1.59220221e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
126             	((6.41755743e+06 3.01556494e+06 -1.11033440e+07) (-1.39519166e+02 -3.24326134e+01 -2.63474085e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.67594700e+06 -4.51152070e+06 1.20616319e+06) (4.62144487e-02 -3.27281964e+00 1.65287877e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
128             	((-8.20755681e+06 -3.01778604e+06 1.08223040e+07) (-1.55077224e+02 -3.35673101e+01 -5.77647167e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.97544546e+06 4.49248862e+06 -1.17744318e+06) (-7.45326970e-01 -2.56098834e+00 1.71532127e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
130             	((7.36104171e+06 3.77187750e+06 -1.25402466e+07) (-1.59942394e+02 -2.63294204e+01 -2.70982718e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.43405945e+06 -5.09085861e+06 1.28276464e+06) (-4.27207849e-01 -3.63320213e+00 1.82233780e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
132             	((-9.84190643e+06 -3.45005898e+06 1.22143453e+07) (-1.80564834e+02 -2.48314889e+01 -2.78090977e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.99808276e+06 5.08747950e+06 -9.51798090e+05) (-9.61632576e-01 -2.79633916e+00 2.09614593e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
134             	((8.57895610e+06 2.71518095e+06 -1.87288822e+07) (-1.86591083e+02 -2.97850399e+01 -4.22687940e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.40847674e+06 -7.60816897e+06 9.98695307e+05) (-4.60212767e-01 -4.75596489e+00 2.11079675e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
136             	((-1.12407835e+07 -2.62853548e+06 1.51811339e+07) (-2.05349871e+02 -2.95942375e+01 -1.28566524e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.23757355e+06 6.35790599e+06 -7.70867924e+05) (-7.71869049e-01 -3.63848777e+00 2.23453617e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
138             	((1.06585946e+07 1.50176333e+06 -2.14894825e+07) (-2.03960755e+02 -3.68991200e+01 -4.65296327e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.52066216e+06 -8.71126528e+06 3.88814685e+05) (1.56571550e-01 -5.24972759e+00 1.97233221e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
140             	((-1.28608170e+07 -1.22772284e+06 2.14377852e+07) (-2.17800259e+02 -3.57718553e+01 1.43377949e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.90523007e+06 8.93526801e+06 -5.67249360e+05) (-2.29151876e-01 -3.18107406e+00 1.95833166e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
142             	((1.23974517e+07 3.53780319e+05 -1.89702444e+07) (-2.14931447e+02 -4.07079757e+01 -1.93568447e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.41869611e+06 -7.70448088e+06 5.07206073e+05) (3.17103315e-01 -4.20470714e+00 1.88677864e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
144             	((-1.28264886e+07 -6.22092389e+05 2.01130986e+07) (-2.18586015e+02 -4.20304012e+01 2.31957858e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.72065613e+06 8.30965414e+06 -5.78616277e+05) (7.13041695e-01 -2.31366247e+00 1.88447052e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
146             	((1.49727236e+07 4.90273296e+05 -2.12355023e+07) (-2.01943134e+02 -4.15532605e+01 9.93910714e-02) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.86271035e+06 -8.64282760e+06 9.19743662e+05) (1.14998217e+00 -3.24514678e+00 1.94857796e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
148             	((-1.75383896e+07 -4.31605655e+05 2.54641974e+07) (-2.23907220e+02 -4.08387797e+01 4.93104169e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.51369193e+06 1.05122182e+07 -8.09470185e+05) (1.00960088e-01 -1.27801329e+00 2.24381723e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
150             	((1.77505604e+07 5.47160763e+05 -2.99587254e+07) (-2.19598763e+02 -3.90248622e+01 1.21901472e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.09459397e+06 -1.22248326e+07 1.35084565e+06) (-3.15901955e-01 -3.53756301e+00 2.51096711e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
152             	((-2.01244089e+07 -1.59620655e+06 3.10001791e+07) (-2.37092278e+02 -4.62091270e+01 4.36486081e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.20452976e+06 1.27943815e+07 -1.95390873e+06) (-2.60677355e-01 -1.83698312e+00 2.34785009e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
