# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.28000000e-02
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
214             	3.06787918e+05	1.01734819e+07	3.06038773e+05	4.59807305e+05	-1.53768531e+05
216             	-8.11313829e+05	-1.20508723e+07	-4.78186369e+05	-1.05040701e+06	5.72220645e+05
218             	7.18082937e+05	1.18218207e+07	2.81358227e+05	8.58762051e+05	-5.77403823e+05
220             	-6.18243276e+05	-1.25921421e+07	-7.37683687e+05	-9.87085120e+05	2.49401433e+05
222             	5.51260290e+05	9.90051202e+06	4.19016805e+05	7.60768692e+05	-3.41751887e+05
224             	-6.25135265e+05	-1.24431937e+07	-7.73278904e+02	-6.25521904e+05	6.24748625e+05
226             	3.97130246e+05	1.22927719e+07	5.05220619e+05	6.49740556e+05	-1.44519937e+05
228             	-9.58244474e+05	-1.44239815e+07	-1.15581986e+06	-1.53615440e+06	3.80334543e+05
230             	8.36978001e+05	1.43684771e+07	1.03200291e+06	1.35297946e+06	-3.20976544e+05
232             	-1.19267328e+06	-1.79850159e+07	-1.35254381e+06	-1.86894518e+06	5.16401375e+05
234             	1.77517604e+06	1.90181764e+07	1.93334276e+06	2.74184742e+06	-8.08504662e+05
236             	-2.18836838e+06	-2.17502855e+07	-2.38463823e+06	-3.38068750e+06	9.96049264e+05
238             	2.31769175e+06	1.90107297e+07	3.76436092e+06	4.19987221e+06	-4.35511294e+05
240             	-1.64275006e+06	-2.27618887e+07	-3.53252309e+06	-3.40901161e+06	-1.23511482e+05
242             	1.43277610e+06	2.02689128e+07	3.19861664e+06	3.03208442e+06	1.66532219e+05
244             	-1.36427608e+06	-2.26949733e+07	-2.95376899e+06	-2.84116057e+06	-1.12608416e+05
246             	1.42011648e+06	2.24856645e+07	2.48651276e+06	2.66337286e+06	-1.76860094e+05
248             	-1.15921379e+06	-2.49604818e+07	-1.87224146e+06	-2.09533452e+06	2.23093055e+05
250             	7.02268032e+05	2.73132719e+07	1.30484044e+06	1.35468825e+06	-4.98478096e+04
252             	-1.12185837e+06	-3.13699004e+07	-5.92608515e+05	-1.41816263e+06	8.25554111e+05
254             	1.58952466e+06	2.78012111e+07	1.41670804e+06	2.29787868e+06	-8.81170644e+05
256             	-1.30004053e+06	-3.34347752e+07	-1.00357898e+06	-1.80183002e+06	7.98251043e+05
258             	9.33802015e+05	2.57983788e+07	4.14537963e+05	1.14107100e+06	-7.26533033e+05
260             	-1.06423807e+06	-3.14161227e+07	1.81518904e+05	-9.73478617e+05	1.15499752e+06
262             	1.69604915e+06	2.74900732e+07	-2.25098957e+05	1.58349967e+06	-1.80859863e+06
264             	-1.79624618e+06	-3.34239026e+07	5.19301094e+05	-1.53659563e+06	2.05589673e+06
266             	1.95748055e+06	3.31027095e+07	-3.57439347e+06	1.70283810e+05	-3.74467728e+06
268             	-3.18662176e+06	-4.04563064e+07	2.55074117e+06	-1.91125117e+06	4.46199235e+06
270             	1.43471965e+06	4.00814638e+07	-3.39335920e+06	-2.61959953e+05	-3.13139925e+06
272             	3.78995715e+05	-4.45716305e+07	5.64719453e+06	3.20259298e+06	2.44460155e+06
274             	2.68730025e+06	4.11868009e+07	-8.92633565e+05	2.24098347e+06	-3.13361703e+06
276             	-2.43958113e+06	-5.06933665e+07	7.44868962e+05	-2.06714665e+06	2.81201561e+06
278             	1.98764943e+06	4.47389966e+07	1.53668857e+06	2.75599372e+06	-1.21930514e+06
280             	-1.03201686e+06	-5.31433501e+07	-1.44369581e+05	-1.10420165e+06	9.59832071e+05
282             	-8.07598592e+05	5.94121654e+07	-3.62196772e+06	-2.61858245e+06	-1.00338527e+06
284             	-3.21333574e+05	-6.28068779e+07	1.08425679e+06	2.20794820e+05	8.63461968e+05
286             	8.27872197e+05	6.44367092e+07	-2.77567151e+06	-5.59963559e+05	-2.21570795e+06
288             	-8.77031346e+05	-7.87793866e+07	6.40593194e+06	2.32593463e+06	4.07999732e+06
290             	-6.25662905e+05	8.48377297e+07	-6.33531950e+06	-3.79332265e+06	-2.54199684e+06
292             	-2.47238874e+06	-8.68312870e+07	2.49774773e+06	-1.22351488e+06	3.72126261e+06
294             	2.64830944e+06	6.59488054e+07	-3.56063762e+06	8.67990634e+05	-4.42862825e+06
296             	-2.44875012e+06	-8.01703009e+07	6.76915452e+06	9.35827145e+05	5.83332738e+06
